Product Title,Final Price,Reduction?,Price Without Reduction,Buy 2 for,URL Product,URL Image,Stock Status
"Veuve Clicquot Yellow Label Champagne",66.40,yes,91.99,,https://www.instacart.com/store/items/item_187271198,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bf1d817c-b325-4fb6-b45a-52c0a1341722.png",
"Veuve Clicquot Yellow Label Champagne",66.40,yes,91.99,,https://www.instacart.com/store/items/item_187229948,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6fe0d924-7b1c-4d81-999d-fb3a90ed4d2c.png",
"Veuve Clicquot Yellow Label Champagne",66.40,yes,91.99,,https://www.instacart.com/store/items/item_3180617792,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b61aeccd-d741-4e11-a1e2-c4cbdd82394b.png",
"Mumm Napa Brut Rose Sparkling",21.84,yes,29.89,,https://www.instacart.com/store/items/item_187331601,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_20eda5f7-7162-463c-8730-8974c5828aa2.jpg",
"Mumm Napa Cuvee M Sparkling Wine, Napa Valley",21.84,yes,29.89,,https://www.instacart.com/store/items/item_187223141,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2bc83728-03de-4983-8c0c-b3399241d301.jpg",
"Mumm Napa Blanc de Blancs Sparkling",21.84,yes,29.89,,https://www.instacart.com/store/items/item_187235774,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aaa5a61c-b792-45d4-9c10-d17c479b9d33.jpg",
"KORBEL Brut California Champagne",13.79,yes,18.39,,https://www.instacart.com/store/items/item_187293391,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_49cbaa17-163e-4dfe-a4f8-1c28870b27ec.jpg",
"André Brut Champagne Sparkling Wine",6.89,yes,8.20,,https://www.instacart.com/store/items/item_187233034,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b575fc0d-1a4f-48af-a00f-cb8226ad4065.png",
"La Marca Prosecco Sparkling Wine",18.39,yes,25.29,,https://www.instacart.com/store/items/item_187319029,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6d82ecc7-83d9-421a-bdad-f5b623838876.png",
"Veuve Clicquot Yellow Label Champagne",66.40,yes,91.99,,https://www.instacart.com/store/items/item_187271198,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bf1d817c-b325-4fb6-b45a-52c0a1341722.png",
"Cook's California Champagne California Champagne Brut White Sparkling Wine",13.79,yes,16.41,,https://www.instacart.com/store/items/item_187263945,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c91a9be9-ef5c-4029-a9b1-8e77bb6ab4ba.jpg",
"Veuve Clicquot Yellow Label Champagne",66.40,yes,91.99,,https://www.instacart.com/store/items/item_187229948,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6fe0d924-7b1c-4d81-999d-fb3a90ed4d2c.png",
"Cook's California Champagne California Champagne Brut White Sparkling Wine",10.34,yes,13.79,,https://www.instacart.com/store/items/item_187317691,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f4be04ec-2396-4efb-ab40-a5a6a7f56617.jpg",
"André Brut Champagne Sparkling Wine",6.89,yes,8.20,,https://www.instacart.com/store/items/item_187233034,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b575fc0d-1a4f-48af-a00f-cb8226ad4065.png",
"Dom Perignon Vintage 2009 Champagne",241.49,yes,292.05,,https://www.instacart.com/store/items/item_258363078,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3f102134-c618-4094-8f8e-544d64991460.png",
"Chandon Brut Rose Sparkling Wine",24.62,no,,,https://www.instacart.com/store/items/item_3180787952,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_89689daa-cf86-4bc7-8d91-a6965a9b580a.png",
"Chandon Brut Sparkling Wine",17.24,yes,21.34,,https://www.instacart.com/store/items/item_187266132,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2f60f83c-bffa-41c4-997f-d00402d71e42.png",
"Cook's California Champagne California Champagne Extra Dry White Sparkling Wine",13.79,yes,16.41,,https://www.instacart.com/store/items/item_187214782,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a627da33-2464-4f61-8e57-67073fcf330a.jpg",
"J Vineyards California Cuvee Brut Sparkling Wine",26.44,yes,34.49,,https://www.instacart.com/store/items/item_465041111,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a7435686-ad4d-415f-a19d-76df1741f70d.png",
"Domaine Carneros Taittinger Brut",34.49,yes,50.91,,https://www.instacart.com/store/items/item_193051794,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3cfb5b66-0dc2-47f5-bcb1-d440c9f0b723.png",
"KORBEL Extra Dry California Champagne",13.79,yes,18.39,,https://www.instacart.com/store/items/item_187298529,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bce5cc54-a100-445c-8bd7-75024f352b44.jpg",
"Chandon Brut Rose Sparkling Wine",21.84,yes,29.89,,https://www.instacart.com/store/items/item_187216305,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_51f4a150-c601-4284-8b6a-6ae3d4b68854.png",
"KORBEL Brut California Champagne",22.99,yes,32.84,,https://www.instacart.com/store/items/item_268081973,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_641bba56-6d82-4d21-9919-f5276f8aa5f8.jpg",
"Freixenet Cordon Negro Brut Cava Sparkling White Wine",12.64,yes,19.54,,https://www.instacart.com/store/items/item_184863748,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2b995b5a-c6d3-4776-9213-4faaf3a61269.jpg",
"Chandon Brut Rose Sparkling Wine",21.84,yes,29.89,,https://www.instacart.com/store/items/item_187216305,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_51f4a150-c601-4284-8b6a-6ae3d4b68854.png",
"Martini & Rossi® MARTINI & ROSSI Asti Sparkling Wine",11.49,yes,18.24,,https://www.instacart.com/store/items/item_184310125,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_341d6ec5-ff98-4f7d-b392-39fd06d4e0c0.png",
"Barefoot Bubbly Brut Cuvee",10.21,yes,13.12,,https://www.instacart.com/store/items/item_184330274,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5f7fe014-1daa-4025-9946-d313f1adc06f.png",
"Freixenet Cordon Negro Brut Cava Sparkling White Wine",12.64,yes,19.54,,https://www.instacart.com/store/items/item_184863748,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2b995b5a-c6d3-4776-9213-4faaf3a61269.jpg",
"Ballatore Gran Spumante Sparkling Wine",9.19,yes,12.64,,https://www.instacart.com/store/items/item_187263039,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b2794b7d-ad3f-4d93-9e9f-bc6a6c9ffce9.png",
"Barefoot Bubbly Brut Cuvee",12.64,yes,16.41,,https://www.instacart.com/store/items/item_187260208,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5f4c68fc-c97c-4c8c-b2b0-2a4e971fb771.png",
"Korbel Korbel Brut California Champagne",18.39,yes,19.54,,https://www.instacart.com/store/items/item_187271380,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b7e2f8d3-4453-4cd9-beed-4fc16047045c.jpg",
"André Extra Dry",6.89,yes,8.20,,https://www.instacart.com/store/items/item_187215676,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e9ea7b73-5631-4548-b245-202dcf04b8ff.png",
"Gloria Ferrer Sonoma Brut Sparkling White Wine",21.84,yes,29.19,,https://www.instacart.com/store/items/item_184863350,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_881e52c1-328e-494d-a4a8-6f9dde7aa361.jpg",
"Barefoot Bubbly Brut Cuvee",10.21,yes,13.12,,https://www.instacart.com/store/items/item_184330274,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5f7fe014-1daa-4025-9946-d313f1adc06f.png",
"Barefoot Extra Dry Champagne Sparkling Wine",10.21,yes,13.12,,https://www.instacart.com/store/items/item_184465100,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2fa42f9a-9fa9-49bf-8572-295c48e37b53.png",
"Captain Morgan White Rum",14.94,yes,19.54,,https://www.instacart.com/store/items/item_187214007,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7392bea2-329b-44a8-ad74-fb063cc844d9.jpg",
"Mionetto Prosecco DOC Brut Sparkling White Wine",12.64,yes,18.06,,https://www.instacart.com/store/items/item_187127201,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b2579768-5be7-46ff-9a34-abfa3594a218.jpg",
"KORBEL Sweet Rose California Champagne",13.79,yes,18.39,,https://www.instacart.com/store/items/item_187196163,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bd6c9161-4ef9-46be-901a-8a9a0860ec3f.jpg",
"Barefoot Sparkling Pink Moscato",10.21,yes,13.12,,https://www.instacart.com/store/items/item_187308830,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_70d86188-51bc-4124-96e7-b81e7393ad9e.png",
"Roederer Estate Brut Multi-Vintage",32.19,yes,43.69,,https://www.instacart.com/store/items/item_187329921,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_283b2811-e687-4869-b156-e82cb6611ccc.jpg",
"Barefoot Extra Dry Champagne Sparkling Wine",10.21,yes,13.12,,https://www.instacart.com/store/items/item_184465100,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2fa42f9a-9fa9-49bf-8572-295c48e37b53.png",
"KORBEL Brut Rose California Champagne",13.79,yes,18.39,,https://www.instacart.com/store/items/item_187159788,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3dfa9dd9-1993-4d5a-b05e-ef780b412150.jpg",
"La Marca Prosecco, Sparkling Wine",19.54,yes,24.62,,https://www.instacart.com/store/items/item_187200980,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_47aa245b-a5aa-4a08-8010-a1660eb2f441.png",
"Barefoot Sparkling Pink Moscato",10.21,yes,13.12,,https://www.instacart.com/store/items/item_187308830,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_70d86188-51bc-4124-96e7-b81e7393ad9e.png",
"André Extra Dry",6.89,yes,8.20,,https://www.instacart.com/store/items/item_187215676,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e9ea7b73-5631-4548-b245-202dcf04b8ff.png",
"Barefoot Bubbly Brut Cuvee",12.64,yes,16.41,,https://www.instacart.com/store/items/item_187260208,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5f4c68fc-c97c-4c8c-b2b0-2a4e971fb771.png",
"Piper Sonoma Brut",17.24,yes,21.34,,https://www.instacart.com/store/items/item_815198763,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_75cf87b6-acbc-4633-9916-d66517dd08e7.png",
"Veuve Clicquot Yellow Label Champagne",66.40,yes,91.99,,https://www.instacart.com/store/items/item_3180617792,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b61aeccd-d741-4e11-a1e2-c4cbdd82394b.png",
"Barefoot Brut Rose",12.64,yes,16.41,,https://www.instacart.com/store/items/item_254026849,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c8cdd4cb-73e6-4c43-a61e-291ac4de7339.jpg",
"Mumm Napa Brut Rose Sparkling",21.84,yes,29.89,,https://www.instacart.com/store/items/item_187331601,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_20eda5f7-7162-463c-8730-8974c5828aa2.jpg",
"It's A Headsnapper® Prosecco Sparkling Wine",11.49,yes,14.36,,https://www.instacart.com/store/items/item_187315721,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_57542a96-c6cf-4ce3-8ea4-f3ba7287ff3a.png",
"Sofia Blanc de Blancs Monterey, California",17.24,yes,21.84,,https://www.instacart.com/store/items/item_187216512,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d18a11da-af89-4035-8817-19fe7537946e.png",
"Chandon Brut Rose Sparkling Wine",24.62,no,,,https://www.instacart.com/store/items/item_3180787952,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_89689daa-cf86-4bc7-8d91-a6965a9b580a.png",
"Apothic Pinot Noir, California",10.21,yes,16.09,,https://www.instacart.com/store/items/item_2975841720,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b425976a-4dc8-4b8a-8769-a3452fe1cbd0.png",
"Rodney Strong Rose of Pinot Noir, Russian River Valley, Sonoma County",18.39,yes,26.27,,https://www.instacart.com/store/items/item_286432522,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0fa61449-de48-4e13-b42c-eed04fbd9d6e.png",
"D'ussé® Cognac",26.44,yes,42.54,,https://www.instacart.com/store/items/item_465367162,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7d1ace87-511f-42db-a832-d6d9b63ae228.png",
"Martini & Rossi® MARTINI & ROSSI Asti Sparkling Wine",11.49,yes,18.24,,https://www.instacart.com/store/items/item_184310125,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_341d6ec5-ff98-4f7d-b392-39fd06d4e0c0.png",
"Mumm Napa Cuvee M Sparkling Wine, Napa Valley",21.84,yes,29.89,,https://www.instacart.com/store/items/item_187223141,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2bc83728-03de-4983-8c0c-b3399241d301.jpg",
"Moët & Chandon Imperial Brut Champagne",60.04,yes,81.64,,https://www.instacart.com/store/items/item_3249761107,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_487afa26-9e8b-4e4f-9d37-6ad4a7812f2b.png",
"Mumm Napa Blanc de Blancs Sparkling",21.84,yes,29.89,,https://www.instacart.com/store/items/item_187235774,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aaa5a61c-b792-45d4-9c10-d17c479b9d33.jpg",
"KORBEL Blanc de Noirs California Champagne",13.79,yes,18.39,,https://www.instacart.com/store/items/item_187309963,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_41148c18-8165-4650-9dfe-95874b0abf3b.jpg",
"Cupcake Vineyards Prosecco Sparkling Wine",11.49,yes,16.41,,https://www.instacart.com/store/items/item_187307934,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d56d5970-5e62-48c6-91d4-9a7c97728fbc.jpg",
"Moet Imperial 750ml",60.04,yes,81.64,,https://www.instacart.com/store/items/item_3249755404,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e4f2f373-917f-46de-b7b7-489c4345e33a.png",running low
"Pine Ridge Vineyards Chenin Blanc + Viognier",16.09,yes,19.70,,https://www.instacart.com/store/items/item_186953935,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f64452d8-f501-4ed9-af56-2c90195ea5ed.jpg",
"Martini & Rossi® Extra Dry L'Aperitivo",8.04,yes,11.49,,https://www.instacart.com/store/items/item_184319266,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4aa2a07c-05c6-4c61-b366-0b06eb354ab1.png",
"A to Z Wineworks Chardonnay, Oregon",17.24,yes,22.99,,https://www.instacart.com/store/items/item_602310910,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_97c255c6-3d7d-4267-8056-a69cae278230.png",
"Taittinger Champagne, Brut La Francaise, Reims",64.39,yes,86.24,,https://www.instacart.com/store/items/item_187200981,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0cbd84f1-1c7f-4b75-ab92-fe5078841589.png",
"La Marca Prosecco Sparkling Wine 1 Single Serve 187ml",6.89,yes,10.34,,https://www.instacart.com/store/items/item_187323693,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_682c142d-7e02-4f36-a6f2-cc3ff8541192.png",
"La Marca Prosecco Rosé Sparkling Wine",18.39,yes,27.59,,https://www.instacart.com/store/items/item_2634234181,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_860d25d6-9479-46f3-972e-f2b21490f762.png",
"Chandon Sparkling Wine, Blanc De Noirs, California",21.84,yes,29.89,,https://www.instacart.com/store/items/item_187295315,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9e051ea6-7276-4544-9b65-1f3001704420.png",
"Cook's California Champagne California Champagne Extra Dry White Sparkling Wine",10.34,yes,13.79,,https://www.instacart.com/store/items/item_187314391,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5a3b041f-4b48-491d-900b-246ce7cb9b45.jpg",
"Moët & Chandon Nectar Impérial Rosé",89.69,yes,112.69,,https://www.instacart.com/store/items/item_251493015,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d1b124af-525b-4741-8ee3-5b3dcde2d38c.png",
"Cook's California Champagne California Champagne Brut White Sparkling Wine Mini Bottles",11.49,yes,14.77,,https://www.instacart.com/store/items/item_187312914,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_89505341-c45e-4f51-88e9-34ed637fbe4e.jpg",
"Rodney Strong Chardonnay, California",11.49,yes,18.06,,https://www.instacart.com/store/items/item_187233764,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_07f8135a-94b0-4385-878e-58a8a2d26605.png",
