Product Title,Final Price,Reduction?,Price Without Reduction,URL Product,URL Image,Stock Status
Champagne Henriot Blanc de Blancs Brut NV (With 2 Champagne Glasses) -BP_476241,598,no,,https://www.watsonswine.com/en/wine/champagne-henriot-blanc-de-blancs-brut-nv-with-2-champagne-glasses-/p/BP_476241,https://www.watsonswine.com/medias/sys_master/front/prd/9020718350366.png,In Stock
Champagne Palmer & Co Blanc de Blancs Brut NV-BP_450340,438,yes,548,https://www.watsonswine.com/en/wine/champagne-palmer-co-blanc-de-blancs-brut-nv/p/BP_450340,https://www.watsonswine.com/medias/sys_master/front/prd/8918619783198.png,In Stock
Le Brun de Neuville Extra Brut Blanc de Blancs Champagne NV-BP_333228,480,no,,https://www.watsonswine.com/en/wine/le-brun-de-neuville-extra-brut-blanc-de-blancs-champagne-nv/p/BP_333228,https://www.watsonswine.com/medias/sys_master/front/prd/8994189901854.png,In Stock
Le Brun de Neuville Extra Brut Champagne Le Chemin Empreinte Blanc de Blancs NV-BP_415277,490,no,,https://www.watsonswine.com/en/wine/le-brun-de-neuville-extra-brut-champagne-le-chemin-empreinte-blanc-de-blancs-nv/p/BP_415277,https://www.watsonswine.com/medias/sys_master/front/prd/8995299950622.png,In Stock
Champagne Henriot Brut Souverain NV-BP_374019,450,no,,https://www.watsonswine.com/en/wine/champagne-henriot-brut-souverain-nv/p/BP_374019,https://www.watsonswine.com/medias/sys_master/front/prd/9026003599390.png,In Stock
Champagne Palmer & Co Brut Reserve NV-BP_384090,398,no,,https://www.watsonswine.com/en/wine/champagne-palmer-co-brut-reserve-nv/p/BP_384090,https://www.watsonswine.com/medias/sys_master/front/prd/8995341074462.png,Out of Stock
Champagne Henriot Blanc de Blancs Brut NV-BP_374020,558,no,,https://www.watsonswine.com/en/wine/champagne-henriot-blanc-de-blancs-brut-nv/p/BP_374020,https://www.watsonswine.com/medias/sys_master/front/prd/9016903761950.png,In Stock
Maison De Grand Marquis De La Mysteriale Champagne Brut NV-BP_480309,420,no,,https://www.watsonswine.com/en/wine/maison-de-grand-marquis-de-la-mysteriale-champagne-brut-nv/p/BP_480309,https://www.watsonswine.com/medias/sys_master/front/prd/8842541858846.jpg,In Stock
Le Brun de Neuville Brut Champagne Cuvee Authentique Assemblage NV-BP_333229,420,yes,558,https://www.watsonswine.com/en/wine/le-brun-de-neuville-brut-champagne-cuvee-authentique-assemblage-nv/p/BP_333229,https://www.watsonswine.com/medias/sys_master/front/prd/8994304851998.png,In Stock
Sophienwald Champagne Glass (With Gift Box)-BP_415041,495,no,,https://www.watsonswine.com/en/wine/sophienwald-champagne-glass-with-gift-box-/p/BP_415041,https://www.watsonswine.com/medias/sys_master/front/prd/8962365030430.png,In Stock
